"PlayerNumber","SetNumber","SetDescription","Set","Name","Team","Country","BasePrice","Skillset","Auctioned","Sold","Owner","Price"
486,52,"UFA7","SET:52|UFA7","Saurabh Dubey","SRH","India",0.2,"BOWLER","No","No",NA,NA
497,53,"UAL8","SET:53|UAL8","Mohd. Arshad Khan","MI","India",0.2,"ALL-ROUNDER","No","No",NA,NA
498,53,"UAL8","SET:53|UAL8","Ansh Patel","PK","India",0.2,"ALL-ROUNDER","No","No",NA,NA
501,53,"UAL8","SET:53|UAL8","K.Bhagath Varma","CSK","India",0.2,"ALL-ROUNDER","No","No",NA,NA
507,54,"UFA8","SET:54|UFA8","Ashok Sharma","KKR","India",0.2,"BOWLER","No","No",NA,NA
535,57,"UAL10","SET:57|UAL10","Arjun Tendulkar","MI","India",0.2,"ALL-ROUNDER","No","No",NA,NA
548,59,"UAL12","SET:59|UAL12","Shubham Garhwal","RR","India",0.2,"ALL-ROUNDER","No","No",NA,NA
376,40,"UBA5","SET:40|UBA5","Abhijeet Tomar","KKR","India",0.2,"BATSMAN","No","No",NA,NA
564,60,"UAL13","SET:60|UAL13","Anunay Singh","RR","India",0.2,"BATSMAN","No","No",NA,NA
299,33,"UAL4","SET:33|UAL4","Ayush Badoni","LSG","India",0.2,"ALL-ROUNDER","No","No",NA,NA
300,33,"UAL4","SET:33|UAL4","Aneeshwar Gautam","RCB","India",0.2,"ALL-ROUNDER","No","No",NA,NA
